Seafood,海鲜,Lobster Sauce,Lobster Sauce,,,,90,,4.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Green Peas,Shrimp w. Green Peas,,,,91,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Bean Curd,Shrimp w. Bean Curd,,,,92,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Cashew Nuts,Shrimp w. Cashew Nuts,,,,93,5.25,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Peanuts,Shrimp w. Peanuts,,,,94,5.25,9.5,L30,4.95,20,7.25,1,1,,,
Seafood,海鲜,Shrimp w. Snow Peas,Shrimp w. Snow Peas,,,,95,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Broccoli,Shrimp w. Broccoli,,,,96,5.25,9.5,L27,4.95,23,7.25,,1,,,
Seafood,海鲜,Shrimp w. Mixed Veg.,Shrimp w. Mixed Veg.,,,,97,5.25,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp & Scallop w. Blk Bean Sauce,Shrimp & Scallop w. Blk Bean Sauce,,,,98,,10.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Lobster Sauce,Shrimp w. Lobster Sauce,,,,99,,9.5,L37,5.25,6,7.25,,1,,,
Seafood,海鲜,Shrimp w. Garlic Sauce,Shrimp w. Garlic Sauce,,,,100,5.25,9.5,L29,4.95,16,7.25,1,1,,,
Seafood,海鲜,Hunan Shrimp,Hunan Shrimp,,,,101,5.25,9.5,,,,,1,1,,,
Seafood,海鲜,Shrimp w. Chili Sauce,Shrimp w. Chili Sauce,,,,102,,9.5,,,,,1,1,,,
Seafood,海鲜,Scallop w. Garlic Sauce,Scallop w. Garlic Sauce,,,,103,,10.5,,,,,,1,,,
Seafood,海鲜,Sweet & Sour Shrimp,Sweet & Sour Shrimp,,,,104,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Zucchini,Shrimp w. Zucchini,,,,105,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. String Bean,Shrimp w. String Bean,,,,106,,9.5,,,,,,1,,,
Seafood,海鲜,Shrimp w. Blk Bean Sauce,Shrimp w. Black Bean Sauce,,,,107,,9.5,L28,4.95,,,,1,,,
Seafood,海鲜,Shrimp w. Asparagus,Shrimp w. Asparagus,,,,108,,10.5,,,,,,1,,,
Egg Foo Young,蓉蛋,Pork Egg Foo Young,Roast Pork Egg Foo Young,叉烧蓉蛋,,,109,,6.25,,,18,6.5,,1,,,
Egg Foo Young,蓉蛋,Shrimp Egg Food Young,Shrimp Egg Food Young,虾蓉蛋,,,110,,6.95,,,,,,1,,,
Egg Foo Young,蓉蛋,Chicken Egg Food Young,Chicken Egg Food Young,鸡蓉蛋,,,111,,6.25,,,,,,1,,,
Egg Foo Young,蓉蛋,Mushroom Egg Food Young,Mushroom Egg Food Young,,,,112,,5.95,,,,,,1,,,
